CLAIM_ID,CONDITION_ID,CONDITION_MIGRATED_FLAG,CONDITION_TYPE_DESC,CONDITION_TYPE_CODE,CONDITION_TREATMENT_START_DATE,CONDITION_KNOWN_FROM_DATE,CONDITION_CLAIMED_AMOUNT,CONDITION_NET_AMOUNT,CONDITION_REJECTED_AMOUNT,CONDITION_EXCESS_AMOUNT
44638373,25275667,0,"hyperthyroid/ hyperthyroidism (overactive thyroid)",HO6,"2024-01-01 00:00:00","2023-11-12 00:00:00",1175.79,1090.79,NULL,85.00
46032673,25725524,0,lameness,LGW,"2023-03-06 00:00:00","2023-02-05 00:00:00",99.50,NULL,99.50,NULL
46338404,22542627,0,aggression,BE1,"2024-05-12 00:00:00","2024-05-08 00:00:00",86.88,0.00,NULL,86.88
46406447,25955555,0,Hydrotherapy,HYP,"2023-03-29 00:00:00","2023-03-19 00:00:00",0.00,NULL,NULL,NULL
46442208,22109574,0,lameness,LGW,"2024-03-28 00:00:00","2024-03-21 00:00:00",173.89,39.11,NULL,134.78
46448444,22814577,0,"mouth ulceration/abscess",MOE,"2023-01-01 00:00:00","2022-11-13 00:00:00",0.00,0.00,NULL,0.00
46480278,25516448,0,"urinary system disorders",USG,"2023-01-03 00:00:00","2022-11-30 00:00:00",358.65,230.92,NULL,127.73
46843788,25169505,0,otitis,EA8,"2023-10-13 00:00:00","2023-10-11 00:00:00",30.30,24.24,NULL,6.06
46864838,24912555,1,"Herbal Medicine",HBM,"2023-10-03 00:00:00","2023-08-21 00:00:00",366.94,291.94,NULL,75.00
47422386,21865058,0,desmitis,TN6,"2023-01-23 00:00:00","2023-01-18 00:00:00",71.41,0.00,NULL,71.41
47447444,21986874,0,mass,TWB,"2024-03-02 00:00:00","2024-02-27 00:00:00",1030.39,920.39,NULL,110.00
47724324,25025142,0,"skin allergies",SLH,"2023-11-10 00:00:00","2023-10-29 00:00:00",136.41,109.13,NULL,27.28
47834464,24615596,0,"skin allergies",SLH,"2023-07-29 00:00:00","2023-07-18 00:00:00",102.09,81.67,NULL,20.42
47836347,22722567,0,pancreatitis,GBC,"2023-08-12 00:00:00","2023-07-03 00:00:00",219.60,219.60,NULL,0.00
48048460,22849929,0,"hip pain",LKK,"2023-07-01 00:00:00","2023-06-22 00:00:00",264.30,211.44,NULL,52.86
48228473,24587608,0,"ocular (eye) discharge",ESU,"2023-10-27 00:00:00","2023-10-23 00:00:00",76.80,NULL,76.80,NULL
48333438,22279562,0,"meibomian gland adenoma",EYI,"2024-05-07 00:00:00","2024-04-02 00:00:00",90.36,0.00,NULL,90.36
48367484,25671955,0,oedema,OE0,"2024-03-08 00:00:00","2024-02-07 00:00:00",378.00,268.00,NULL,110.00
48474348,25596846,1,"dog attack wounds",AGC,"2023-02-12 00:00:00","2023-01-22 00:00:00",1034.12,934.12,NULL,100.00
48623423,22719609,0,"vestibular syndrome",NEN,"2023-10-27 00:00:00","2023-10-12 00:00:00",90.22,0.00,NULL,90.22
48624037,22157400,0,"mast cell tumour(s)",TUL,"2024-03-26 00:00:00","2024-03-03 00:00:00",89.02,89.02,NULL,0.00
